ID,LABEL_ID,OFFER_ID
609,54,OFF0005
609,144,OFF0005
609,233,OFF0005
609,183,OFF0005
609,227,OFF0005
609,203,OFF0005
609,89,OFF0005
609,134,OFF0005
609,49,OFF0022
609,97,OFF0022
609,97,OFF0025
609,229,OFF0025
1250,97,OFF0025
1250,229,OFF0025
1250,49,OFF0023
1250,235,OFF0023
1250,135,OFF0023
1250,103,OFF0023
1250,49,OFF0022
1250,97,OFF0022
1250,103,OFF0022
621,70,OFF0034
621,43,OFF0034
621,93,OFF0034
621,238,OFF0034
621,211,OFF0034
621,168,OFF0034
621,126,OFF0034
621,81,OFF0034
621,80,OFF0034
621,37,OFF0034
621,222,OFF0034
621,223,OFF0034
621,217,OFF0034
967,90,OFF0002
967,167,OFF0002
967,141,OFF0002
967,205,OFF0002
967,54,OFF0002
593,233,OFF0020
593,144,OFF0020
593,132,OFF0020
593,106,OFF0020
593,136,OFF0020
1139,103,OFF0023
1139,97,OFF0025
1139,229,OFF0025
1139,49,OFF0023
1139,235,OFF0023
1139,135,OFF0023
1377,54,OFF0007
1377,233,OFF0007
1377,213,OFF0007
1377,56,OFF0007
1377,63,OFF0007
1377,203,OFF0007
1377,216,OFF0007
1377,108,OFF0007
424,95,OFF0027
424,54,OFF0027
424,56,OFF0027
424,209,OFF0027
424,194,OFF0027
424,234,OFF0027
254,54,OFF0007
254,47,OFF0005
254,54,OFF0005
254,144,OFF0005
254,233,OFF0005
254,183,OFF0005
254,227,OFF0005
254,203,OFF0005
254,89,OFF0005
254,134,OFF0005
254,233,OFF0007
254,213,OFF0007
254,56,OFF0007
254,63,OFF0007
254,203,OFF0007
254,216,OFF0007
254,108,OFF0007
1289,43,OFF0011
1289,131,OFF0011
1289,101,OFF0011
1289,84,OFF0011
1289,45,OFF0011
1289,219,OFF0011
1289,144,OFF0011
1289,40,OFF0011
404,103,OFF0023
404,54,OFF0027
404,56,OFF0027
404,209,OFF0027
404,194,OFF0027
404,234,OFF0027
404,95,OFF0027
404,233,OFF0007
404,213,OFF0007
404,56,OFF0007
404,63,OFF0007
404,203,OFF0007
404,216,OFF0007
404,108,OFF0007
404,54,OFF0007
404,49,OFF0023
404,235,OFF0023
404,135,OFF0023
303,72,OFF0028
303,66,OFF0028
303,48,OFF0028
303,215,OFF0028
303,189,OFF0028
303,102,OFF0028
303,114,OFF0028
303,115,OFF0028
1012,220,OFF0013
1012,233,OFF0013
1012,144,OFF0013
1012,2,OFF0013
1012,4,OFF0013
1012,3,OFF0013
516,103,OFF0022
516,97,OFF0025
516,229,OFF0025
516,49,OFF0022
516,97,OFF0022
1187,233,OFF0020
1187,144,OFF0020
1187,132,OFF0020
1187,106,OFF0020
1187,136,OFF0020
492,95,OFF0027
492,54,OFF0027
492,56,OFF0027
492,209,OFF0027
492,194,OFF0027
492,234,OFF0027
1393,134,OFF0005
1393,47,OFF0005
1393,54,OFF0005
1393,144,OFF0005
1393,233,OFF0005
1393,183,OFF0005
1393,227,OFF0005
1393,203,OFF0005
1393,89,OFF0005
407,95,OFF0027
407,54,OFF0027
407,56,OFF0027
407,209,OFF0027
407,194,OFF0027
407,234,OFF0027
812,55,OFF0021
812,104,OFF0021
812,50,OFF0021
1415,95,OFF0027
1415,167,OFF0002
1415,141,OFF0002
1415,205,OFF0002
1415,54,OFF0002
1415,90,OFF0002
1415,54,OFF0027
1415,56,OFF0027
1415,209,OFF0027
1415,194,OFF0027
1415,234,OFF0027
279,54,OFF0007
279,233,OFF0007
279,213,OFF0007
279,56,OFF0007
279,63,OFF0007
279,203,OFF0007
279,216,OFF0007
279,108,OFF0007
1314,229,OFF0025
1314,97,OFF0025
1167,229,OFF0025
1167,49,OFF0022
1167,97,OFF0022
1167,103,OFF0022
1167,49,OFF0023
1167,235,OFF0023
1167,135,OFF0023
1167,103,OFF0023
1167,97,OFF0025
1229,103,OFF0023
1229,49,OFF0022
1229,97,OFF0022
1229,103,OFF0022
1229,49,OFF0023
1229,235,OFF0023
1229,135,OFF0023
405,95,OFF0027
405,54,OFF0027
